Event,Win/Loss/Draw,Fighter,Opponent,Method,Referee,Round,Time,Closed Odds
"WXF - X-Impact World Championships 2005","WIN","ALAN BELCHER","SERGEI TROVNIKOV","Submission (Armbar)","N/A","1","3:37",""
"FFC 10 - Freestyle Fighting Championships 10","WIN","ALAN BELCHER","TIM ELLIS","TKO (Punches)","John Dixson","1","1:49",""
"RCF - Duel in the Delta","LOSS","ALAN BELCHER","SETH KLEINBECK","TKO (Punches)","N/A","1","0:15",""
"UFC 236 - Holloway vs. Poirier","LOSS","ALAN JOUBAN","DWIGHT GRANT","Decision (Split)","George Allen","3","5:00","-115"
"UFC on Fox 28 - Emmett vs. Stephens","WIN","ALAN JOUBAN","BEN SAUNDERS","KO (Punch)","N/A","2","2:38","-310"
"UFC Fight Night 114 - Pettis vs. Moreno","LOSS","ALAN JOUBAN","NIKO PRICE","TKO (Punches)","Gary Copeland","1","1:44","-190"
"UFC Fight Night 107 - Manuwa vs. Anderson","LOSS","ALAN JOUBAN","GUNNAR NELSON","Submission (Guillotine Choke)","Marc Goddard","2","0:46","+230"
"UFC on Fox 22 - VanZant vs. Waterson","WIN","ALAN JOUBAN","MIKE PERRY","Decision (Unanimous)","Herb Dean","3","5:00","+110"
"UFC Fight Night 90 - Dos Anjos vs. Alvarez","WIN","ALAN JOUBAN","BELAL MUHAMMAD","Decision (Unanimous)","Herb Dean","3","5:00","-165"
"UFC Fight Night 85 - Hunt vs. Mir","WIN","ALAN JOUBAN","BRENDAN O'REILLY","TKO (Elbows and Punches)","John Sharp","1","2:15","-545"
"UFC 192 - Cormier vs. Gustafsson","LOSS","ALAN JOUBAN","ALBERT TUMENOV","TKO (Head Kick and Punches)","Frank Collazo","1","2:55","+195"
"UFC Fight Night 71 - Mir vs. Duffee","WIN","ALAN JOUBAN","MATT DWYER","Decision (Unanimous)","Herb Dean","3","5:00","-650"
"UFC 184 - Rousey vs. Zingano","WIN","ALAN JOUBAN","RICHARD WALSH","KO (Elbow and Punch)","John McCarthy","1","2:19","-254"
"UFC Fight Night 56 - Shogun vs. St. Preux","LOSS","ALAN JOUBAN","WARLLEY ALVES","Decision (Unanimous)","Keith Peterson","3","5:00","+265"
"UFC Fight Night 47 - Bader vs. St. Preux","WIN","ALAN JOUBAN","SETH BACZYNSKI","KO (Punch)","Keith Peterson","1","4:23","+125"
"RFA 15 - Casey vs. Sanchez","WIN","ALAN JOUBAN","RICKY LEGERE JR.","Decision (Split)","Steve Davis","3","5:00","-135"
"RFA 14 - Manzanares vs. Maranhao","WIN","ALAN JOUBAN","ARMANDO MONTOYA JR.","KO (Punch)","Tom Johnson","2","3:33",""
"RFA 10 - Rhodes vs. Jouban","LOSS","ALAN JOUBAN","MIKE RHODES","Decision (Unanimous)","Thomas Mastin","5","5:00","+220"
"RFA 9 - Munhoz vs. Curran","WIN","ALAN JOUBAN","CHRIS SPANG","TKO (Punches)","John McCarthy","3","1:23","+175"
"Fight Club OC - Rumble on the Range","WIN","ALAN JOUBAN","RIGO OROPEZA","TKO (Punches)","N/A","1","1:54",""
"USA MMA - Stacked 2","WIN","ALAN JOUBAN","CAMERON MAYER","KO (Punch)","N/A","1","1:24",""
"National Fight Alliance - Valley Invasion 2","WIN","ALAN JOUBAN","DANIEL MCWILLIAMS","TKO (Submission to Punches)","Cecil Peoples","1","0:46",""
"SF 20 - Shark Fights 20","WIN","ALAN JOUBAN","D.J. ROBERSON","Decision (Unanimous)","N/A","3","5:00",""
"SF 17 - Horwich vs. Rosholt 2","WIN","ALAN JOUBAN","ANDREW GOLDTHWAITE","KO (Punches)","Jason Stafin","3","2:37",""
"TPF 9 - The Contenders","LOSS","ALAN JOUBAN","CHIDI NJOKUANI","KO (Kick to the Body)","John McCarthy","3","1:27",""
"TPF 8 - All or Nothing","WIN","ALAN JOUBAN","KYLE GRIFFIN","KO (Knee)","John McCarthy","1","0:15","n/a"
"Tuff-N-Uff - Future Stars of MMA","WIN","ALAN JOUBAN","JODEN SEIDERS","Submission (Rear-Naked Choke)","N/A","1","1:06",""
"Tuff-N-Uff - Future Stars of MMA","WIN","ALAN JOUBAN","DUSTIN CHEVALIER","TKO (Punches)","N/A","1","0:14",""
"UFC 229 - Nurmagomedov vs. McGregor","LOSS","ALAN PATRICK","SCOTT HOLTZMAN","KO (Elbows)","Jason Herzog","3","3:42","-370"
"UFC Fight Night 125 - Machida vs. Anders","WIN","ALAN PATRICK","DAMIR HADZOVIC","Decision (Unanimous)","Mario Yamasaki","3","5:00","-280"
"UFC Fight Night 95 - Cyborg vs. Lansberg","WIN","ALAN PATRICK","STEVEN RAY","Decision (Unanimous)","Mario Yamasaki","3","5:00","+130"
"UFC Fight Night 85 - Hunt vs. Mir","WIN","ALAN PATRICK","DAMIEN BROWN","Decision (Unanimous)","Greg Kleynjans","3","5:00","-310"
"UFC Fight Night 69 - Jedrzejczyk vs. Penne","LOSS","ALAN PATRICK","MAIRBEK TAISUMOV","TKO (Head Kick and Punches)","Kevin Sataki","2","1:30","+115"
"UFC 169 - Barao vs. Faber 2","WIN","ALAN PATRICK","JOHN MAKDESSI","Decision (Unanimous)","Dan Miragliotta","3","5:00","+105"
"UFC Fight Night 29 - Maia vs. Shields","WIN","ALAN PATRICK","GARETT WHITELEY","TKO (Punches)","Marc Goddard","1","3:54","-333"
"BC - Bitetti Combat 15","WIN","ALAN PATRICK","CLAUDIERE FREITAS","Decision (Unanimous)","Osiris Maia","3","5:00",""
"BC - Bitetti Combat 14","WIN","ALAN PATRICK","KELLES ALBUQUERQUE","Decision (Unanimous)","N/A","3","5:00",""
"JF - Jungle Fight 49","WIN","ALAN PATRICK","MURILO ROSA FILHO","TKO (Doctor Stoppage)","Alessandro Souza","1","5:00",""
"Mr. Cage Championship - Mr. Cage 7","WIN","ALAN PATRICK","ALAN FERREIRA","KO (Head Kick)","Iliarde Santos","2","3:23",""
"Mr. Cage Championship - Mr. Cage 4","WIN","ALAN PATRICK","MICHEL SILVA","Decision (Unanimous)","N/A","3","5:00",""
"VF 1 - Vision Fight","WIN","ALAN PATRICK","ANDRE BATATA","Decision (Unanimous)","N/A","3","5:00",""
"VF 1 - Vision Fight","WIN","ALAN PATRICK","RONALD KING","Decision (Unanimous)","N/A","3","5:00",""
"SDS - Samurai da Selva 1","WIN","ALAN PATRICK","AUGUSTO CESAR","Submission (Rear-Naked Choke)","N/A","1","0:00",""
"HTJ - Qualifying","WIN","ALAN PATRICK","WAGNER HENRIQUE","Submission (Rear-Naked Choke)","N/A","1","2:47",""
"HTJ - Hero's the Jungle 2","WIN","ALAN PATRICK","BRUNO AUGUSTO","TKO (Punches)","N/A","1","0:00",""
"UFC 224 - Nunes vs. Pennington","LOSS","ALBERTO MINA","RAMAZAN EMEEV","Decision (Unanimous)","Eduardo Herdy","3","5:00","+125"
"UFC Fight Night 90 - Dos Anjos vs. Alvarez","WIN","ALBERTO MINA","MIKE PYLE","KO (Flying Knee)","Jason Herzog","2","1:17","-105"
"UFC Fight Night 79 - Henderson vs. Masvidal","WIN","ALBERTO MINA","YOSHIHIRO AKIYAMA","Decision (Split)","Steve Perceval","3","5:00","+120"
"UFC Fight Night 48 - Bisping vs. Le","WIN","ALBERTO MINA","SHINSHO ANZAI","TKO (Punches)","Thomas Fan","1","4:17","-260"
"Rebel FC 1 - Into the Lion's Den","WIN","ALBERTO MINA","GLENN SPARV","TKO (Knee and Punches)","N/A","1","2:44",""
"UFG - Ultimate Fighting Greece 1","WIN","ALBERTO MINA","BOY EGGELS","Submission (Armbar)","Lazaros Sbonias","1","3:11",""
"UCMMA 10 - Resurrection","WIN","ALBERTO MINA","DEAN AMASINGER","TKO (Punches)","Grant Waterman","3","2:17",""
"UCMMA 8 - Dynamite","WIN","ALBERTO MINA","EDGELSON LUA","Submission (Armbar)","Leon Roberts","1","3:26",""
"Cage Rage 28 - VIP","WIN","ALBERTO MINA","STEVEN ELLIOTT","Submission (Rear-Naked Choke)","N/A","1","2:55",""
"MCVT - Mahal Combat Vale Tudo","WIN","ALBERTO MINA","MICHEL RIBEIRO","TKO (Retirement)","N/A","3","1:31",""
"ZTFN 2 - ZT Fight Night 2","WIN","ALBERTO MINA","JOSE ENRIQUE ANTON","Submission (Rear-Naked Choke)","N/A","1","N/A",""
"IF 3 - Intense Fighting 3","WIN","ALBERTO MINA","MIKAEL SLOMCZYNSKI","Submission (Kimura)","N/A","1","3:55",""
"IC - Instigacao Combat 1","WIN","ALBERTO MINA","MICHEL RIBEIRO","TKO (Punches)","N/A","1","3:29",""
"CFN - Cage Fight Nordeste","WIN","ALBERTO MINA","JEFERSON FIBIRU","Submission (Armbar)","N/A","1","3:37",""
"UFC 239 - Jones vs. Santos","LOSS","ALEJANDRO PEREZ","YADONG SONG","KO (Punch)","Herb Dean","1","2:04","+166"
"UFC 235 - Jones vs. Smith","LOSS","ALEJANDRO PEREZ","CODY STAMANN","Decision (Unanimous)","Chris Tognoni","3","5:00","+133"
"UFC Fight Night 133 - Dos Santos vs. Ivanov","WIN","ALEJANDRO PEREZ","EDDIE WINELAND","Decision (Unanimous)","Tom Supnet","3","5:00","-200"
"UFC on Fox 29 - Poirier vs. Gaethje","WIN","ALEJANDRO PEREZ","MATTHEW LOPEZ","TKO (Knee and Punches)","Nick Jones","2","3:42","-115"
"UFC Fight Night 123 - Swanson vs. Ortega","WIN","ALEJANDRO PEREZ","IURI ALCANTARA","Decision (Unanimous)","Josh Rosenthal","3","5:00","+150"
"UFC Fight Night 114 - Pettis vs. Moreno","WIN","ALEJANDRO PEREZ","ANDRE SOUKHAMTHATH","Decision (Split)","Kevin MacDonald","3","5:00","-175"
"UFC Fight Night 94 - Poirier vs. Johnson","DRAW","ALEJANDRO PEREZ","ALBERT MORALES","Draw (Majority)","Kerry Hatley","3","5:00","-130"
"UFC Fight Night 86 - Rothwell vs. Dos Santos","WIN","ALEJANDRO PEREZ","IAN ENTWISTLE","TKO (Punches)","Grant Waterman","1","4:04","+110"
"UFC Fight Night 78 - Magny vs. Gastelum","WIN","ALEJANDRO PEREZ","SCOTT JORGENSEN","TKO (Leg Injury)","Gary Copeland","2","4:26","+100"
"UFC 188 - Velasquez vs. Werdum","LOSS","ALEJANDRO PEREZ","PATRICK WILLIAMS","Technical Submission (Guillotine Choke)","Dan Miragliotta","1","0:23","-180"
"UFC 180 - Werdum vs. Hunt","WIN","ALEJANDRO PEREZ","JOSE ALBERTO QUINONEZ","Decision (Unanimous)","John McCarthy","3","5:00","+180"
"JF - Jungle Fight 59","WIN","ALEJANDRO PEREZ","WANDERSON DA SILVA","Submission (Rear-Naked Choke)","N/A","2","1:15",""
"FCM - Fight Club Mexico 3","LOSS","ALEJANDRO PEREZ","JOSE ALBERTO QUINONEZ","Decision (Unanimous)","N/A","3","5:00",""
"Kamikaze Fight League - Kamikaze Fight League 2","WIN","ALEJANDRO PEREZ","CARLO MEDINA","TKO","N/A","1","1:49",""
"XK 14 - Xtreme Kombat 14","WIN","ALEJANDRO PEREZ","MASIO FULLEN","Decision (Unanimous)","N/A","3","5:00",""
"TSC 1 - The Supreme Cage 1","WIN","ALEJANDRO PEREZ","FABIAN GALVAN","Decision (Unanimous)","N/A","3","5:00",""
"TFC - Total Fight Championship","LOSS","ALEJANDRO PEREZ","MASIO FULLEN","TKO","N/A","1","N/A",""
"SKC - Supreme Kombat Challenge 4","WIN","ALEJANDRO PEREZ","GILBERTO AGUILAR","Decision (Unanimous)","N/A","3","5:00",""
"TC 33 - Total Combat 33","WIN","ALEJANDRO PEREZ","RODOLFO RUBIO","TKO (Punches)","N/A","2","0:51",""
"Black FC 5 - Black Fighting Championships 5","WIN","ALEJANDRO PEREZ","JORGE PINEDA","TKO (Punches)","N/A","2","0:45",""
"MMAX 22 - Revolution","WIN","ALEJANDRO PEREZ","VICTOR JAUREGUI","TKO","N/A","1","0:00",""
"Black FC 3 - Black Fighting Championships 3","WIN","ALEJANDRO PEREZ","GASTON PEREZ","Submission (Rear Naked Choke)","N/A","1","1:06",""
"MMAX 21 - MMA Xtreme 21","LOSS","ALEJANDRO PEREZ","KEVIN DUNSMOOR","Submission (Armbar)","N/A","2","1:27",""
"MMAX 19 - MMA Xtreme 19","WIN","ALEJANDRO PEREZ","CARLOS DE LUNA","Submission (Triangle Choke)","N/A","1","1:36",""
"MMAX 18 - Going Home","LOSS","ALEJANDRO PEREZ","IVAN LOPEZ","Decision (Unanimous)","Mario Mendoza","3","5:00",""
"Black FC 2 - Black Fighting Championships 2","WIN","ALEJANDRO PEREZ","JORGE PINEDA","TKO","N/A","1","1:44",""
"MMAX 11 - MMA Xtreme 11","LOSS","ALEJANDRO PEREZ","CHRIS    DAVID","Submission (Armbar)","N/A","2","0:36",""
"MMAX 2 - MMA Xtreme 2","WIN","ALEJANDRO PEREZ","ROBERTO ESPARAZA","KO","N/A","1","0:00",""
"EF 7 - Espartan Fighting 7","WIN","ALEJANDRO PEREZ","MARCELLO PORTO","Submission (Guillotine Choke)","N/A","1","0:00",""
"GC 39 - Titans Collide","WIN","ALEJANDRO PEREZ","MARIO RIVERA","Submission (Rear-Naked Choke)","N/A","1","2:11",""
"UFC - The Ultimate Fighter: Latin America Season 1 Semifinals, Day 1","WIN","ALEJANDRO PEREZ","GUIDO CANNETTI","KO (Punches)","Chris Tognoni","1","1:40",""
"UFC - The Ultimate Fighter: Latin America Season 1 Quarterfinals, Day 3","WIN","ALEJANDRO PEREZ","FREDY SERRANO","Decision (Unanimous)","Herb Dean","3","5:00",""
"UFC Fight Night 153 - Gustafsson vs. Smith","WIN","ALEKSANDAR RAKIC","JIMI MANUWA","KO (Head Kick)","Kevin Sataki","1","0:42","-275"
"UFC 231 - Holloway vs. Ortega","WIN","ALEKSANDAR RAKIC","DEVIN CLARK","TKO (Punches)","Brian Beauchamp","1","4:05","-714"
"UFC Fight Night 134 - Shogun vs. Smith","WIN","ALEKSANDAR RAKIC","JUSTIN LEDET","Decision (Unanimous)","Leon Roberts","3","5:00","-120"
"UFC Fight Night 115 - Volkov vs. Struve","WIN","ALEKSANDAR RAKIC","FRANCIMAR BARROSO","Decision (Unanimous)","Marc Goddard","3","5:00","-155"
"AFC - Austrian Fight Challenge 5","WIN","ALEKSANDAR RAKIC","SERGIO SOUZA","TKO (Punches)","Grant Waterman","1","N/A",""
"AFC - Austrian Fight Challenge 1","WIN","ALEKSANDAR RAKIC","MARTIN BATUR","KO (Punch)","Jan Vobornik","1","0:26",""
"FFC - Final Fight Championship 16","WIN","ALEKSANDAR RAKIC","MARCIN PRACHNIO","TKO (Punches)","Zlatko Klaric","3","3:00",""
"HG - Heimgala 2","WIN","ALEKSANDAR RAKIC","NORBERT PETER","TKO (Punches)","Ceyrhan Bayrakci","1","4:57",""
"Vendetta - Rookies 2","WIN","ALEKSANDAR RAKIC","PETER ROZMARING","Submission (North-South Choke)","Ceyrhan Bayrakci","1","1:32",""
"WFC - Challengers 3","WIN","ALEKSANDAR RAKIC","LASZLO CZENE","KO (Head Kick)","N/A","1","0:00",""
"Iron Fist - Vendetta 3","WIN","ALEKSANDAR RAKIC","RICHARD LONGHIMO","TKO (Punches)","N/A","2","4:30",""
"FFA - New Talents 15","WIN","ALEKSANDAR RAKIC","CARSTEN LORENZ","TKO (Punches)","Reiko Bertz","1","1:42",""
"RTC - Rock the Cage 2","LOSS","ALEKSANDAR RAKIC","CHRISTIAN RADKE","Submission (Guillotine Choke)","N/A","1","4:34",""
"UFC Fight Night 149 - Overeem vs. Oleynik","LOSS","ALEN AMEDOVSKI","KRZYSZTOF JOTKO","Decision (Unanimous)","Herb Dean","3","5:00",""
"Bellator 211 - Sakara vs. Kauppinen","WIN","ALEN AMEDOVSKI","IBRAHIM MANE","KO (Punches)","N/A","1","0:12","n/a"
"Bellator 203 - Pitbull vs. Weichel 2","WIN","ALEN AMEDOVSKI","WILL FLEURY","KO (Punches)","Dan Miragliotta","1","1:39","n/a"
"Magnum FC 4 - Magnum Fighting Championship 4","WIN","ALEN AMEDOVSKI","BADR MAMDOUH","TKO (Elbows)","Andrea Bruni","2","3:06",""
"Cage Warrior 3 - Knockout in the Cage Selection","WIN","ALEN AMEDOVSKI","MASSIMILIANO SAMMARCO","TKO (Punches)","N/A","2","3:57",""
"Slam FC 7 - Nemesis","WIN","ALEN AMEDOVSKI","IVAN DOROZHKIN","TKO (Injury)","Andrea Pecoraro","1","0:11",""
"MITC - Milano in the Cage 4","WIN","ALEN AMEDOVSKI","ALEXANDER TCACI","TKO (Punches)","Massimo Marin","1","3:00",""
"MITC - Milano in the Cage 3","WIN","ALEN AMEDOVSKI","ROBERTO FANTASIA","TKO (Punches)","Lorenzo Spoto","1","0:38",""
"FIKBMS - Memorial Fabio Arbeia 7","WIN","ALEN AMEDOVSKI","SIMONE TOSATTO","TKO (Punches)","Claudio Alberton","1","0:40",""
"UFC Fight Night 154 - Moicano vs. The Korean Zombie","LOSS","ALESSIO DI CHIRICO","KEVIN HOLLAND","Decision (Unanimous)","Blake Grice","3","5:00","+165"
"UFC - The Ultimate Fighter 27 Finale","WIN","ALESSIO DI CHIRICO","JULIAN MARQUEZ","Decision (Split)","Chris Tognoni","3","5:00","+100"
"UFC on Fox 26 - Lawler vs. dos Anjos","WIN","ALESSIO DI CHIRICO","OLUWALE BAMGBOSE","KO (Knee)","Herb Dean","2","2:14","-165"
"UFC on Fox 23 - Shevchenko vs. Pena","LOSS","ALESSIO DI CHIRICO","ERIC SPICELY","Submission (Triangle Choke)","Tim Mills","1","2:14","-120"
"UFC on Fox 21 - Maia vs. Condit","WIN","ALESSIO DI CHIRICO","GARRETH MCLELLAN","Decision (Split)","Kevin Dornan","3","5:00","-350"
"UFC Fight Night 86 - Rothwell vs. Dos Santos","LOSS","ALESSIO DI CHIRICO","BOJAN VELICKOVIC","Decision (Unanimous)","Kevin Sataki","3","5:00","+150"
"FEN 9 - Go For It","WIN","ALESSIO DI CHIRICO","ANDRZEJ GRZEBYK","Decision (Unanimous)","Szymon Bonkowski","3","5:00",""
"Caveam - Bitva Roku 2015","WIN","ALESSIO DI CHIRICO","ANDRE REINDERS","TKO (Punches)","Lukasz Bosacki","3","2:23",""
"PLMMA 47 - Wilanow","WIN","ALESSIO DI CHIRICO","ADAM KOWALSKI","TKO (Punches)","Piotr Michalak","2","2:40",""
"CFC - Centurion Fighting Championship","WIN","ALESSIO DI CHIRICO","GIOVANNI LUCIANI","Submission (Rear-Naked Choke)","Andrea Bruni","2","0:41",""
"Storm FC 5 - Storm Fighting Championship 5","WIN","ALESSIO DI CHIRICO","CRISTIAN MAGRO","TKO (Punches)","Andrea Bruni","1","4:15",""
"White Rex - Tana Delle Tigri 1","WIN","ALESSIO DI CHIRICO","OLEG MEDVEDEV","Submission (Keylock)","Andrea Bruni","1","3:54",""
"Storm FC 3 - Storm Fighting Championship 3","WIN","ALESSIO DI CHIRICO","DANIELE D'ANGELO","TKO (Punches)","Andrea Bruni","1","1:25",""
"Ronin FC 2 - Ronin Fighting Championships","WIN","ALESSIO DI CHIRICO","ISSA SAIDI","Submission (Rear-Naked Choke)","Andrea Bruni","1","2:48",""
"Ronin FC 1 - The Genesis","WIN","ALESSIO DI CHIRICO","MOHAMED ANOIR","Submission (Rear-Naked Choke)","Andrea Bruni","1","2:55",""
"Tuff-N-Uff - 2014 IMMAF World Championships Finals","WIN","ALESSIO DI CHIRICO","EIVIND KJONSVIK","Decision (Unanimous)","N/A","3","5:00",""
"Tuff-N-Uff - 2014 IMMAF World Championships: Day 4","WIN","ALESSIO DI CHIRICO","KAROL LINOWSKI","Decision (Unanimous)","N/A","3","5:00",""
"Tuff-N-Uff - 2014 IMMAF World Championships: Day 2, Cage B","WIN","ALESSIO DI CHIRICO","COLE FETZNER","KO (Punches)","N/A","1","2:48",""
"UFC on ESPN 4 - Dos Anjos vs. Edwards","WIN","ALEX CACERES","STEVEN PETERSON","Decision (Unanimous)","Dan Miragliotta","3","5:00","-125"
"UFC on ESPN 1 - Ngannou vs. Velasquez","LOSS","ALEX CACERES","KRON GRACIE","Submission (Rear-Naked Choke)","Keith Peterson","1","2:06","+205"
"UFC - The Ultimate Fighter 27 Finale","WIN","ALEX CACERES","MARTIN BRAVO","Decision (Split)","Mark Smith","3","5:00","-150"
"UFC Fight Night 122 - Bisping vs. Gastelum","LOSS","ALEX CACERES","GUAN WANG","Decision (Split)","Steve Perceval","3","5:00","-160"
"UFC Fight Night 111 - Holm vs. Correia","WIN","ALEX CACERES","ROLANDO DY","TKO (Eye Injury)","Neil Swailes","2","5:00","-365"
"UFC on Fox 23 - Shevchenko vs. Pena","LOSS","ALEX CACERES","JASON KNIGHT","Submission (Rear-Naked Choke)","Tom Johnson","2","4:21","+110"
"UFC Fight Night 92 - Rodriguez vs. Caceres","LOSS","ALEX CACERES","YAIR RODRIGUEZ","Decision (Split)","Herb Dean","5","5:00","+212"
"UFC 199 - Rockhold vs. Bisping 2","WIN","ALEX CACERES","COLE MILLER","Decision (Unanimous)","John McCarthy","3","5:00","+135"
"UFC on Fox 18 - Johnson vs. Bader","WIN","ALEX CACERES","MASIO FULLEN","Decision (Unanimous)","Gary Copeland","3","5:00","-300"
"UFC Fight Night 68 - Boetsch vs. Henderson","LOSS","ALEX CACERES","FRANCISCO RIVERA","KO (Punches)","Dan Miragliotta","1","0:21","+110"
"UFC Fight Night 52 - Hunt vs. Nelson","LOSS","ALEX CACERES","MASANORI KANEHARA","Decision (Unanimous)","Leon Roberts","3","5:00","-300"
"UFC 175 - Weidman vs. Machida","LOSS","ALEX CACERES","URIJAH FABER","Submission (Rear-Naked Choke)","Herb Dean","3","1:09","+423"
"UFC on Fox 10 - Henderson vs. Thomson","WIN","ALEX CACERES","SERGIO PETTIS","Submission (Rear-Naked Choke)","Herb Dean","3","4:39","+150"
"UFC 165 - Jones vs. Gustafsson","WIN","ALEX CACERES","ROLAND DELORME","Decision (Split)","Todd Anderson","3","5:00","-155"
"UFC on Fuel TV 8 - Silva vs. Stann","NC","ALEX CACERES","KYUNG HO KANG","No Contest - Caceres Failed Drug Test","Herb Dean","3","5:00","-130"
"UFC on Fuel TV 6 - Franklin vs. Le","WIN","ALEX CACERES","MOTONOBU TEZUKA","Decision (Split)","Marc Goddard","3","5:00","-250"
"UFC on Fuel TV 4 - Munoz vs. Weidman","WIN","ALEX CACERES","DAMACIO PAGE","Submission (Triangle Choke)","Josh Rosenthal","2","1:27","-123"
"UFC 143 - Diaz vs. Condit","LOSS","ALEX CACERES","EDWIN FIGUEROA","Decision (Split)","Herb Dean","3","5:00","-105"
"UFC on Fox 1 - Velasquez vs. Dos Santos","WIN","ALEX CACERES","COLE ESCOVEDO","Decision (Unanimous)","Herb Dean","3","5:00","+220"
"UFC Live 5 - Hardy vs. Lytle","LOSS","ALEX CACERES","JIM HETTES","Submission (Rear-Naked Choke)","Herb Dean","2","3:12","+330"
"UFC Fight Night 24 - Nogueira vs. Davis","LOSS","ALEX CACERES","MACKENS SEMERZIER","Submission (Rear-Naked Choke)","Mario Yamasaki","1","3:18","+182"
"G-Force Fights - Bad Blood 3","WIN","ALEX CACERES","KETEMA JAHMAL MCLENNAN","TKO (Punches)","N/A","3","2:48",""
"WFC - Battle of the Bay 8","LOSS","ALEX CACERES","MATT MCCOOK","Submission (Armbar)","N/A","2","3:56",""
"BOTB - Best of the Best","LOSS","ALEX CACERES","FARKHAD SHARIPOV","Submission (Armbar)","Tony Mullinax","3","3:01",""
"XFN - Da Matta vs. Thorne","WIN","ALEX CACERES","JOEL GARCIA","Submission (Triangle Choke)","Jorge Ortiz","1","1:05",""
"KOTC - Hurricane","WIN","ALEX CACERES","ERIC KOVARIK","Submission (Rear-Naked Choke)","Jorge Alonso","1","1:58",""
"MFA - There Will Be Blood","WIN","ALEX CACERES","TULIO QUINTANILLA","TKO (Punches)","N/A","2","4:14",""
"G-Force Fights - Bad Blood 1","WIN","ALEX CACERES","ERIC LUKE","Submission (Armbar)","Chris Adams","2","1:45",""
"UFC - The Ultimate Fighter Season 12 Quarterfinals, Day 1","LOSS","ALEX CACERES","MICHAEL JOHNSON","Decision (Unanimous)","Herb Dean","2","5:00","-150"
"UFC - The Ultimate Fighter Season 12 Opening Round, Day 1","WIN","ALEX CACERES","JEFF LENTZ","Submission (Triangle Choke)","Herb Dean","2","2:29","-150"
"UFC - The Ultimate Fighter Season 12 Elimination Fights","WIN","ALEX CACERES","PAUL BARROW","Submission (Rear-Naked Choke)","Josh Rosenthal","1","3:55","-150"
"UFC Fight Night 137 - Santos vs. Anders","LOSS","ALEX CHAMBERS","LIVINHA SOUZA","Submission (Guillotine Choke)","Camila Albuquerque","1","1:21","+640"
"UFC Fight Night 121 - Werdum vs. Tybura","LOSS","ALEX CHAMBERS","NADIA KASSEM","Decision (Unanimous)","Jim Perdios","3","5:00","+130"
"UFC 191 - Johnson vs. Dodson 2","LOSS","ALEX CHAMBERS","PAIGE VANZANT","Submission (Armbar)","John McCarthy","3","1:01","+700"
"UFC Fight Night 65 - Miocic vs. Hunt","WIN","ALEX CHAMBERS","KAILIN CURRAN","Submission (Armbar)","Steve Perceval","3","3:15","+179"
"UFC - The Ultimate Fighter 20 Finale","LOSS","ALEX CHAMBERS","AISLING DALY","Submission (Armbar)","John McCarthy","1","4:53","+165"
"Invicta FC 5 - Penne vs. Waterson","WIN","ALEX CHAMBERS","JODIE ESQUIBEL","Submission (Rear-Naked Choke)","Rusty Sullivan","1","1:35",""
"BFW 17 - Brace Girls","WIN","ALEX CHAMBERS","MIKA NAGANO","TKO (Knee and Punches)","Peter Hickmott","1","0:42",""
"Jewels - 18th Ring","LOSS","ALEX CHAMBERS","MIZUKI INOUE","Submission (Armbar)","Kenichi Serizawa","1","4:32",""
"Rize 6 - Defiance","WIN","ALEX CHAMBERS","CLAIRE FRYER","TKO (Punches)","N/A","1","2:57",""
"Rize 5 - Revolution","WIN","ALEX CHAMBERS","JESSICA TOLHURST","Decision (Unanimous)","N/A","3","3:00",""
"UFC - The Ultimate Fighter Season 20 Opening Round, Day 7","LOSS","ALEX CHAMBERS","ROSE NAMAJUNAS","Submission (Rear-Naked Choke)","Jason Herzog","1","4:38","+165"
